BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
42/7,1.,1725-04-08,"chorale setting ""Verleih uns Frieden gnädiglich"" (ss. 1–2)",F♯ min.,SATB,10: 91,"III/2.1: 21 III/2.2: 51, 154",after Z 1945b; text by Luther after Da pacem Domine & Walter after 1Tm 2:2,11186
43,1.,1726-05-30,Cantata Gott fähret auf mit Jauchzen (Ascension),C maj.,satbSATB 3Tr Tmp 2Ob Str Bc,10: 93,I/12: 133,"after Z 5741b (/11: by Peter ); text: Meiningen, after Ps 47:6–7 (/1), Mk 16:19 (/4), by Rist (/11)",00058
44,1.,1724-05-21,Cantata Sie werden euch in den Bann tun (Exaudi),G min.,satbSATB 2Ob Str Bc,10: 127,I/12: 165,"after Z 533a (/4), 2293b (/7); text after Jh 16:2 (/1–2), by Moller (/4), Fleming (/7)",00059
44/7,1.,1724-05-21,"chorale setting ""In allen meinen Taten"" (s. 7)",B♭ maj.,SATB,10: 150,III/2.1: 75 III/2.2: 203,after Z 2293b; text by Fleming,11242
44/7,1.,1724-05-21,"chorale setting ""Nun ruhen alle Wälder""",B♭ maj.,SATB,10: 150,III/2.1: 75 III/2.2: 203,after Z 2293b; text by Gerhardt,11242
45,1.,1726-08-11,"Cantata Es ist dir gesagt, Mensch, was gut ist (Trinity VIII)",E maj.,atbSATB 2Fl Ob Oba Str Bc,10: 151,I/18: 197,"after Z 5206b–c (/7); text: Meiningen, after Mh 6:8 (/1), Mt 7:22–23 (/4), by Heermann (/7)",00060
45/7,1.,1726-08-11,"chorale setting ""O Gott, du frommer Gott"" (s. 7)",E maj.,SATB,10: 186,III/2.2: 47,after Z 5206b–c; text by Heermann,11297
46,1.,1723-08-01,"Cantata Schauet doch und sehet, ob irgend ein Schmerz sei (Trinity X)",D min.,atbSATB Tdt Hn 2Fl 2Odc Str Bc,10: 187,I/19: 109,"after Z 5105a (/6); text after Lm 1:12 (/1), by Meyfart (/6)",00061
46/6,1.,1723-08-01,"chorale setting ""O großer Gott von Macht"" (s. 9)",G min.,SATB,10: 236,III/2.2: 45,after Z 5105a; text by Meyfart,11341
47,1.,1726-10-13,"Cantata Wer sich selbst erhöhet, der soll erniedriget werden (Trinity XVII)",G min.,sbSATB 2Ob Str Org Bc,10: 239,I/23: 319,"after Z 1689a (/5); text by Helbig, after Lk 14:11 (/1)",00062
47/5,1.,1726-10-13,"chorale setting ""Warum betrübst du dich, mein Herz"" (s. 11)",G min.,SATB,10: 274,III/2.2: 52,after Z 1689a,11336
48,1.,1723-10-03,"Cantata Ich elender Mensch, wer wird mich erlösen (Trinity XIX)",G min.,atSATB Tr 2Ob Str Bc,10: 275,I/24: 105,"after Z 2051 (/3), 4486 (/7); text after Rm 7:24, by Rutilius  (/3)",00063
48/3,1.,1723-10-03,"chorale setting ""Ach Gott und Herr"" (s. 4)",B♭ maj.,SATB,10: 288,III/2.1: 30 III/2.2: 166,after Z 2051; text by Rutilius ,11197
48/7,1.,1723-10-03,"chorale setting ""Herr Jesu Christ, ich schrei zu dir"" (s. 12)",G min.,SATB,10: 298,III/2.1: 33 III/2.2: 158,after Z 4486,11320
48/7,1.,1723-10-03,"chorale setting ""Herr Jesu Christ, du höchstes Gut""",G min.,SATB,10: 298,III/2.1: 33 III/2.2: 158,after Z 4486; text by Ringwaldt,11320
49,1.,1726-11-03,Cantata Ich geh und suche mit Verlangen (Trinity XX),G min.,sb Oba Str Vl Org Bc,10: 299,I/25: 107,"after Z 8359; text by Birkmann, Nicolai & after Jer 31:3, Rv 3:20 (/6); /1 → BWV 1053/3",00064
50,1.,,Cantata Nun ist das Heil und die Kraft (single movement; arrangement or fragment of a cantata for Michaelmas?),D maj.,2SATB 3Tr Tmp 3Ob Str Bc,10: 341,I/30: 141,text after Rv 12:10; in SBB P 136,00065
51,1.,1730-09-17,Cantata Jauchzet Gott in allen Landen (Trinity XV),C maj.,s (2)Tr (Tmp) Str Bc,122: 1,I/22: 77,"after Z 8244 (/4); text after Ps 128:2 & 26:2 (/2), by Gramann (/4)",00066
52,1.,1726-11-24,"Cantata Falsche Welt, dir trau ich nicht (Trinity XXIII)",F maj.,sSATB 2Hn 3Ob Bas Str Bc,122: 25,I/26: 131,"after BWV 1046a/1 (/1), Z 2461 (/6); text by Birkmann, Reusner (/6)",00067
54,1.,1714–1717?,Cantata Widerstehe doch der Sünde (Oculi),E♭ maj.,a 2Vl 2Va Bc,122: 59,I/18: 3,text by Lehms; → BWV 247/53?,00069
55,1.,1726-11-17,"Cantata Ich armer Mensch, ich Sündenknecht (Trinity XXII)",G min.,tSATB Fl Oba Str Bc,122: 73,I/26: 55,"after Z 6551 (/5); text by Birkmann, Rist (/5)",00070
55/5,1.,1726-11-17,"chorale setting ""Werde munter, mein Gemüte"" (s. 6)",B♭ maj.,SATB,122: 86,III/2.2: 53,after Z 6551; text by Rist,11319
